Date	TMin	TMax
2023-03-02	-0.5	8.9
2023-03-03	0.1	7.9
2023-03-04	3.7	7.8
2023-03-05	1.8	6.4
2023-03-06	1.2	6.8
2023-03-07	-1.2	5.1
2023-03-08	-2.5	3
2023-03-09	0.3	2.5
2023-03-10	0	2.6
2023-03-11	-4.3	7.1
2023-03-12	1.4	11.6
2023-03-13	9.1	16.6
2023-03-14	1.3	10.8
2023-03-15	0.5	8.8
2023-03-16	4.4	14.1
2023-03-17	7.2	16.4
2023-03-18	9.1	15.4
2023-03-19	7.8	12.6
2023-03-20	6.6	9.7
2023-03-21	8.8	13.3
2023-03-22	9.2	12
2023-03-23	10.5	15.3
2023-03-24	9.7	14
2023-03-25	7.7	12.6
2023-03-26	2.8	9.1
2023-03-27	0.6	8.1
2023-03-28	-1.9	8.9
2023-03-29	5.6	14.2
2023-03-30	9.9	15.4
2023-03-31	9.8	13
2023-04-01	6.3	11.7
2023-04-02	2.4	10
2023-04-03	-0.4	9.8
2023-04-04	-2.8	10.9
2023-04-05	-2.5	11.6
2023-04-06	0.7	8.8
2023-04-07	7.2	10.2
2023-04-08	4.8	14.1
2023-04-09	7.6	15.6
2023-04-10	6.8	15.1
2023-04-11	7.7	13.3
2023-04-12	6.2	12.4
2023-04-13	3	12.5
2023-04-14	1.7	15.2
2023-04-15	4.7	13.1
2023-04-16	7.7	10.9
2023-04-17	7.1	15.5
2023-04-18	5.2	13.9
2023-04-19	6.9	15
2023-04-20	6	12.1
2023-04-21	5.7	16.2
2023-04-22	3.6	17.2
2023-04-23	6.9	16.9
2023-04-24	5.5	10.9
2023-04-25	2.1	10.7
2023-04-26	-0.7	10.3
2023-04-27	-1.2	13.3
2023-04-28	8.2	13.6
2023-04-29	4.7	15.9
2023-04-30	2.5	17.9
2023-05-01	6.3	17
2023-05-02	3.3	12.8
2023-05-03	0.6	15.6
2023-05-04	5.9	22.1
2023-05-05	9.9	18.8
2023-05-06	8.8	20.6
2023-05-07	10.9	21.2
2023-05-08	9.2	20.1
2023-05-09	12.3	14.9
2023-05-10	11.4	15.9
2023-05-11	10	16.5
2023-05-12	11.3	22
2023-05-13	10.8	22.2
2023-05-14	10.5	20
2023-05-15	8.5	15
2023-05-16	5.6	15.2
2023-05-17	4.7	14.2
2023-05-18	3.5	15.5
2023-05-19	6.6	19.2
2023-05-20	10.4	20.2
2023-05-21	14	21.4
2023-05-22	12.1	24.3
2023-05-23	6.8	15.5
2023-05-24	4.4	16.3
2023-05-25	4.9	17.2
2023-05-26	6.5	18.2
2023-05-27	6	22.1
2023-05-28	10.5	21.8
2023-05-29	8.7	17.7
2023-05-30	7.3	16.2
2023-05-31	9.2	22.4
2023-06-01	10	16.5
2023-06-02	10.4	18.6
2023-06-03	9.7	21.9
2023-06-04	9.9	21.8
2023-06-05	9.3	20
2023-06-06	9.9	21.9
2023-06-07	10.2	22.4
2023-06-08	10.7	24.7
2023-06-09	12.4	29.1
2023-06-10	17.1	29.8
2023-06-11	15.2	30.3
2023-06-12	15.9	29.9
2023-06-13	14.6	27.5
2023-06-14	13.5	25.4
2023-06-15	10.9	26.1
2023-06-16	10.3	26.5
2023-06-17	8.7	27.6
2023-06-18	15.2	25.1
2023-06-19	18.7	25.7
2023-06-20	18.6	29.6
2023-06-21	14.9	25.7
2023-06-22	13	24.2
2023-06-23	14.8	25.6
2023-06-24	12.7	28.3
2023-06-25	15.7	31.3
2023-06-26	13	22.8
2023-06-27	12.8	22.2
2023-06-28	14.2	21.8
2023-06-29	11.5	23.5
2023-06-30	8.5	22.9
2023-07-01	15.8	19.8
2023-07-02	12.5	20.8
2023-07-03	13	19.7
2023-07-04	12.5	21.3
2023-07-05	11.6	18.9
2023-07-06	11	22
2023-07-07	9.3	27.3
2023-07-08	17.1	32.2
2023-07-09	17.4	29.6
2023-07-10	15	25.4
2023-07-11	14	27.9
2023-07-12	16	22.6
2023-07-13	13.1	21.8
2023-07-14	13.1	23
2023-07-15	16.6	26.2
2023-07-16	16.5	22.6
2023-07-17	13.2	20.6
2023-07-18	11.2	23.8
2023-07-19	13.2	21.4
2023-07-20	11.7	21.6
2023-07-21	10.8	21.1
2023-07-22	10.2	19.5
2023-07-23	14.5	22.9
2023-07-24	10	21.4
2023-07-25	8.4	19.7
2023-07-26	8.5	20.7
2023-07-27	13.8	19
2023-07-28	16.6	23.8
2023-07-29	16.2	22.7
2023-07-30	14.7	21.2
2023-07-31	15.2	18.7
